nombre,lat,lng,direccion,categoria,capa,mapa,lista
Bar Playa El Boya,27.7524509,-15.6720922,,,,Sin gluten Canarias,Sin gluten Canarias
Llévame al huerto,28.135820799999998,-15.4330485,,,,Sin gluten Canarias,Sin gluten Canarias
Bodegón El Biberon,28.1433447,-15.4310221,,,,Sin gluten Canarias,Sin gluten Canarias
Restaurante La Rubia,27.9885584,-15.3746722,,,,Sin gluten Canarias,Sin gluten Canarias
"C. Granados, 43",27.9241434,-15.433917099999999,,,,Sin gluten Canarias,Sin gluten Canarias
Restaurante Sibora,28.05745,-15.60689,,,,Sin gluten Canarias,Sin gluten Canarias
El Cardón Especias y Condimentos,28.147845999999998,-15.4292564,,,,Sin gluten Canarias,Sin gluten Canarias
El Toro Bueno,27.7589187,-15.568783799999999,,,,Sin gluten Canarias,Sin gluten Canarias
Hard Rock Cafe Gran Canaria,27.753640599999997,-15.5700629,,,,Sin gluten Canarias,Sin gluten Canarias
El Sobrino,27.995756,-15.396059699999999,,,,Sin gluten Canarias,Sin gluten Canarias
Asadero de Pollos y Freiduria Caña Dulce,28.0281083,-15.412213699999999,,,,Sin gluten Canarias,Sin gluten Canarias
Más Que Xurros café,27.8426692,-15.446624799999999,,,,Sin gluten Canarias,Sin gluten Canarias
200 Gramos Burger & Beverage Cicer,28.129457199999997,-15.446673299999999,,,,Sin gluten Canarias,Sin gluten Canarias
200 Gr. Burger & Beverage,28.1358048,-15.4328568,,,,Sin gluten Canarias,Sin gluten Canarias
200 Gramos Burger & Beverage San Fernando,27.7677806,-15.577308299999999,,,,Sin gluten Canarias,Sin gluten Canarias
Restaurante Vega (Guayadeque),27.936716999999998,-15.511975699999999,,,,Sin gluten Canarias,Sin gluten Canarias
PadThaiWok CC. Mogan Mall,27.7958522,-15.705302099999999,,,,Sin gluten Canarias,Sin gluten Canarias
PadThaiWok. Las Palmas de Gran Canaria,28.130506,-15.440237,,,,Sin gluten Canarias,Sin gluten Canarias
Ristorante Pizzería Al Maccaroni,28.1440396,-15.431675199999999,"P.º las Canteras, 12, 35008 Las Palmas de Gran Canaria, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Ristorante Piccola Italia - Gran Canaria,27.7682501,-15.5481407,"Ristorante Piccola Italia, Local 156, 2ª Planta Centro Comercial, 35100 Maspalomas, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Casa Paché,28.416387699999998,-16.552478699999998,,,,Sin gluten Canarias,Sin gluten Canarias
Camino al Jamonal,28.1489042,-15.432036,"Calle Américo Vespucio, 11, 35009 Las Palmas de Gran Canaria, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Restaurante Non Solo Pizza,28.100761799999997,-15.4549001,,,,Sin gluten Canarias,Sin gluten Canarias
Mi Balconcito,28.0594102,-15.547358099999999,,,,Sin gluten Canarias,Sin gluten Canarias
Tasca El asunto los Parres,28.5037424,-16.192522,,,,Sin gluten Canarias,Sin gluten Canarias
La Tasca de Arana,28.487233099999997,-16.3151729,,,,Sin gluten Canarias,Sin gluten Canarias
Compostelana Avenida,28.418244299999998,-16.543781799999998,,,,Sin gluten Canarias,Sin gluten Canarias
Compostelana Plaza del Charco,28.416127799999998,-16.5503578,,,,Sin gluten Canarias,Sin gluten Canarias
Compostelana Plaza de España,28.4666061,-16.2479095,,,,Sin gluten Canarias,Sin gluten Canarias
Restaurante El Templete,28.046560999999997,-16.5378079,,,,Sin gluten Canarias,Sin gluten Canarias
La Mafia se sienta a la Mesa,28.467422,-16.250106,,,,Sin gluten Canarias,Sin gluten Canarias
Restaurante GOM,28.472257,-16.252630099999998,,,,Sin gluten Canarias,Sin gluten Canarias
Tahiti Tenerife Bar Cafetería Restaurate,28.4697356,-16.259289,,,,Sin gluten Canarias,Sin gluten Canarias
Asador El Rincón de Chasna,28.1503101,-16.632972,,,,Sin gluten Canarias,Sin gluten Canarias
Cuadra de San Diego,28.4524109,-16.456207199999998,,,,Sin gluten Canarias,Sin gluten Canarias
Restaurante Gran Tarajal SIN GLUTEN,28.3880792,-16.5095884,,,,Sin gluten Canarias,Sin gluten Canarias
Restaurante El Limón,28.416483699999997,-16.5481859,,,,Sin gluten Canarias,Sin gluten Canarias
Convivio,28.4705034,-16.254158999999998,,,,Sin gluten Canarias,Sin gluten Canarias
Cafetería Ébano,28.4347243,-16.4716913,,,,Sin gluten Canarias,Sin gluten Canarias
"Obrador Sin Gluten ""Las Arenas""",28.3985678,-16.544888099999998,,,,Sin gluten Canarias,Sin gluten Canarias
La Pasta Fresca de Anto y Roby,28.4632591,-16.251777099999998,,,,Sin gluten Canarias,Sin gluten Canarias
Poco A Poco,28.503549,-13.8673706,,,,Sin gluten Canarias,Sin gluten Canarias
Restaurante El Rinconcito de Doña Juanita,28.5000298,-13.8533964,,,,Sin gluten Canarias,Sin gluten Canarias
Asadero Las Brasas-Los Pollitos,28.0993101,-15.5535886,,,,Sin gluten Canarias,Sin gluten Canarias
Restaurante La Iguana,28.095822599999998,-15.5025857,,,,Sin gluten Canarias,Sin gluten Canarias
Cafetería del Real,28.144294799999997,-15.431368099999998,,,,Sin gluten Canarias,Sin gluten Canarias
La Cuchara Sana,28.1029491,-15.4532159,,,,Sin gluten Canarias,Sin gluten Canarias
Restaurante El Pote,28.135023399999998,-15.4342896,,,,Sin gluten Canarias,Sin gluten Canarias
Antica Trattoria Di Verona,28.920284499999998,-13.646490499999999,,,,Sin gluten Canarias,Sin gluten Canarias
Secreto Energy,28.7227157,-13.8683217,,,,Sin gluten Canarias,Sin gluten Canarias
El Sombrero,28.740310899999997,-13.866641399999999,,,,Sin gluten Canarias,Sin gluten Canarias
Sanus Fuerteventura,28.735850199999998,-13.869737599999999,,,,Sin gluten Canarias,Sin gluten Canarias
Guirlache Guanarteme,28.132222,-15.4410733,"Calle Simancas, Calle Fernando Guanarteme, 2 esquina, 35010 Las Palmas de Gran Canaria, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Cokí Triana,28.106141899999997,-15.4180736,"Calle de Perdomo, 20, 35002 Las Palmas de Gran Canaria, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Restaurante Ca'Miguel Playa de Arinaga,27.8566972,-15.3931697,"Calle Alcalá Galiano, 17, 35118 Arinaga, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Pastelería Singlutencake,28.1112468,-15.4176538,"Calle Siloé, 55, 35018 Las Palmas de Gran Canaria, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Restaurante El Guachinche,27.9039412,-15.4490549,"Calle Dr. Joaquín Artiles, 42, 35260 Agüimes, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Las Burras Beachouse,27.7675782,-15.5504783,"Av. Playa San Agustín, 43, 35100 Maspalomas, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Da Pinocchio,27.7915608,-15.708359799999998,"Av. Tomás Roca Bosch, 1, 35130 Mogán, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Casa Malasia,28.1266358,-15.4395119,"Av. Federico García Lorca, 8, B, 35011 Las Palmas de Gran Canaria, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
