nombre,lat,lng,direccion,categoria,capa,mapa,lista
'A Cannarutia,39.31933859999999,16.2451172,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Papero Verde,39.3400993,16.2461166,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Löwengrube,39.3543691,16.242909,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Agriturismo La Locanda del Greco,39.367086,16.130071,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Villa Santa Caterina,39.4182541,16.2330736,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Il Brillo Parlante - Lorica,39.249219,16.5094283,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
La Pignanella,39.3497731,16.4710261,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Callipo,39.49228859999999,16.3796238,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Lido Solero Beach,39.4277372,16.0030832,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Panoramik Ristorante Pizzeria B&B,39.50111110000001,16.3913889,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Lo Scoglio,39.46963880000001,15.973275100000002,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Il Rifugio,39.1029043,16.5398093,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Ammasciata Pizzeria Napoletana Autentica,39.5952233,16.1960046,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
RISTORANTEDAPAURA,39.2529824,16.6981434,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Sant'Emilia Ristorante Pizzeria,39.624732,16.5165851,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
My Chef,38.9094534,16.2455442,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Gelateria La Coccinella,38.8997556,16.3501513,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Ristorante Pizzeria Pietrabianca,39.5781445,15.8693918,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Agriturismo i colori del gusto,38.9216003,16.4737864,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
"""Sachsenhausen"" Pub Pizzeria Ristorante",39.5935515,15.8670964,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Agriturismo Costantino,38.8754437,16.335997199999994,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
La Favola Antica,39.1205608,16.7739129,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Il Dolce Forno di Boccuto - Stabilimento,38.8688331,16.6208806,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Da Matti - Pub,38.9058185,16.590361,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Perri's Bistrot,38.89184830000001,16.6018113,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Ristorante Pizzeria Event,38.8590762,16.6223278,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Agriturismo Virgena,38.79688879999999,16.5130224,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Bounty Killer,38.8276457,16.6279124,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Ristorante La Paladina,38.74117,16.502804,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Ristorante Pizzeria Pedro's,39.5059242,16.9378547,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
The Truffle Domenico Penna,38.738147,16.1770842,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Ristorante Pizzeria San Marco,38.9158384,16.8072608,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
PRIMAOPOI Ristorante & Pizza,38.90864049999999,16.8051756,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
La Rada,38.722435,16.1251907,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Tato's Pizzeria Birreria Hamburgheria Gourmet Paninoteca Street Food Consegna Domicilio..,38.7135158,16.1276218,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Agriturismo - Tenuta Fortunato,40.18988979999999,16.3514068,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Pizzeria PizzArte di Michele Seminara,38.4290633,16.0644955,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Antica Ciambra Ristorante Pizzeria,38.4251817,15.879621499999999,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
La Cucciarda Ristorante Pizzeria,38.387889,15.9965517,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Borgo Cariati Di Maria Luisa Pillari C Sas,38.3912239,15.9452075,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Ristorante Metropolis,38.3593583,16.0141139,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Il Fornello,38.3038746,16.3320987,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Gelateria Vittorio,40.00113069999999,15.3758932,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
La Cascina 1899,38.31074510000001,16.3726328,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Rocco Borzomì,38.3211971,16.4054172,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Golosia,38.2997939,16.3285167,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Bierkeller,40.8458821,14.230358,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Johnny's Irish Pub,40.84603,14.2330953,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Golocious Pizza&Cucina Napoli Cimarosa,40.8426728,14.2295684,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Il Colmo Del Pizzaiolo,40.8427699,14.2218094,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Biergarten,40.8416966,14.2272561,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Ristorante Pizzeria Mascagni,40.8448307,14.220938,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
OVEN Forno Vegetariano,40.849702500000014,14.2527196,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Pizzaioli Veraci,40.8403417,14.2484606,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
